Plant Name,Forecasting Agency,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,YTD,Transmission,Region,AVC (MW),Plant Type,Access Type
Khavda PSS 1,AGEL,0.43,3.54,4.16,8.35,6.41,2.62,0.5,1.49,3.19,CTU,WR,1000.0,Solar,STOA
Khavda PSS 2,AGEL,0.42,4.27,3.77,7.98,5.05,2.93,0.59,1.36,3.12,CTU,WR,1250.0,Solar,STOA
ARE56L 225 MW Khavda PSS 4 - Solar,AGEL,4.26,11.7,3.84,7.49,4.39,2.27,0.57,0.93,4.23,CTU,WR,225.0,Solar,STOA
ARE45L 250MW Khavda PSS 5 Solar,AGEL,32.75,23.36,14.81,21.13,14.68,11.17,0.72,1.44,9.88,CTU,WR,250.0,Solar,STOA
ARE57L 1200MW Khavda PSS 13 - Solar,AGEL,4.11,5.92,4.35,8.94,5.67,4.53,1.01,1.67,4.5,CTU,WR,1200.0,Solar,STOA
ARE56L 500MW Khavda PSS 10 - Solar,AGEL,10.85,6.79,14.81,19.21,14.82,9.29,0.72,1.42,7.94,CTU,WR,500.0,Solar,STOA
ASERJ1PL,Energy Meteo,0.11,0.13,0.82,2.66,3.1,1.22,0.28,0.01,0.98,CTU,NR,300.0,Solar,LTA
ASEJ2PL PPA,Energy Meteo,1.72,1.46,4.6,7.88,2.74,1.2,0.32,0.04,2.39,CTU,NR,150.0,Solar,LTA
ASEJ2PL P2,Energy Meteo,1.91,1.26,4.44,8.43,2.37,0.45,0.17,0.03,2.35,CTU,NR,150.0,Solar,LTA
ARERJL,Energy Meteo,0.02,0.39,2.35,2.59,4.04,1.19,0.11,0.01,1.29,CTU,NR,200.0,Solar,LTA
ASE4L 50MW,Energy Meteo,0.06,0.59,2.27,2.72,4.1,1.0,0.1,0.0,1.31,CTU,NR,50.0,Solar,LTA
ASEJ2L,Energy Meteo,0.03,0.33,2.08,2.46,2.34,0.54,0.08,0.01,0.95,CTU,NR,50.0,Solar,LTA
ASEJ5L,Energy Meteo,0.06,0.59,1.89,2.01,3.89,0.66,0.64,0.02,1.17,CTU,NR,200.0,Solar,LTA
ASERJ2PL_180MW,AGEL,0.6,2.22,4.09,7.33,3.95,3.13,1.8,,,CTU,NR,180.0,Solar,LTA
ASERJ2PL_150MW,Energy Meteo,0.6,2.22,3.74,7.33,3.95,3.13,1.8,0.07,2.8,CTU,NR,150.0,Solar,LTA
AGE25L,Energy Meteo,2.6,4.77,10.7,17.5,11.39,2.89,0.57,0.07,6.42,CTU,NR,500.0,Solar,STOA
AGE24L_500MW_Bhimsar(ST),AGEL,0.21,0.85,2.39,3.69,4.0,1.19,0.3,0.06,1.56,CTU,NR,500.0,Solar,STOA
ASEJ6PL 35MW Khavda PSS 8 Hybrid,AGEL,,,,,21.22,11.57,6.47,9.56,11.1,CTU,WR,35.0,Solar,STOA
ASEAP7PL,Manikaran,4.89,11.65,8.22,14.08,9.53,13.76,9.61,6.82,9.63,CTU,SR,250.0,Solar,LTA
ASEKA9PL,RE Connect,1.07,11.36,14.1,17.49,10.42,12.01,12.32,8.53,10.47,CTU,SR,200.0,Solar,LTA
Pavagada,Energy Meteo,3.05,19.81,22.96,28.11,17.53,14.7,14.83,13.52,16.27,CTU,SR,150.0,Solar,LTA
AWEK1L,Manikaran,0.22,4.98,2.47,1.36,1.16,1.85,0.1,0.48,1.89,CTU,WR,555.0,Wind,LTA
AWEK4L,Manikaran,1.72,6.25,4.01,2.11,5.85,2.39,1.22,1.35,3.36,CTU,WR,300.0,Wind,LTA
AWEMP1PL,Enercast,13.71,22.04,10.21,4.31,4.61,7.33,5.69,4.73,9.41,CTU,WR,324.0,Wind,LTA
Inox W1RL,Manikaran,0.56,6.91,3.91,3.55,2.42,7.15,1.09,0.24,3.7,CTU,WR,50.0,Wind,LTA
Inox W3RL,Manikaran,0.6,7.39,4.16,2.97,2.93,5.56,0.73,0.21,3.71,CTU,WR,50.0,Wind,LTA
Inox W5RL,Manikaran,1.51,4.92,3.24,5.99,3.97,5.95,3.22,0.18,3.91,CTU,WR,50.0,Wind,LTA
AGE24L_100MW_PSS4(ST),AGEL,24.13,31.1,1.32,1.43,3.28,0.86,0.44,0.27,9.37,CTU,WR,100.0,Wind,STOA
ARE41L_50MW_PSS4(ST),AGEL,35.45,27.32,0.76,1.14,2.27,0.38,0.46,0.24,10.71,CTU,WR,50.0,Wind,STOA
AHEJ5L 60MW Khavda PSS 4 Wind,AGEL,,19.99,1.05,1.15,1.95,0.45,0.45,0.2,3.7,CTU,WR,60.0,Wind,STOA
Khavda PSS 9,AGEL,0.52,3.64,4.24,2.06,3.48,1.8,0.32,0.8,2.1,CTU,WR,269.6,Wind,STOA
ARE41L_124.8MW_PSS13(ST),AGEL,21.32,34.17,1.66,1.34,1.27,0.49,0.74,0.51,10.11,CTU,WR,124.8,Wind,STOA
ARE41L_125MW_PSS8(ST),AGEL,,,,,,28.28,19.67,17.62,23.24,CTU,WR,125.0,Wind,STOA
Khavda PSS 3,AGEL,0.34,2.86,3.01,3.36,2.81,1.21,0.65,1.17,1.95,CTU,WR,1250.0,Hybrid,STOA
